Application Number,Authorization Number,File Number,Interim Licence Number,Authorization Status,Authorization Status Date,Authorization Holder,Authorization Issue Date,Authorization Effective Date,Authorization Expiry Date,Authorization Type,Allocation Purpose,Allocation Classification,Allocation Sub Classification,Allocation Specific Classification,Allocation Point Type,Allocation Status Date,Allocation Number,Allocation Type,Allocation Status,Allocation Priority Number,Allocation Water Body,Allocation Diversion Rate,Allocation Diversion Rate Units,Allocation Diversion Quantity (M3),Allocation Consumptive Use (M3),Allocation Losses (M3),Allocation Return Flow (M3),Allocation Centroid ATS,Allocation Production Interval Upper (M),Allocation Production Interval Lower (M),Allocation Production Well ID,Allocation Irrigable Area (HA),Allocation River Sub Basin Code,Allocation River Sub Basin,Allocation River Basin,Allocation Latitude,Allocation Longitude,Authorization Regulator,Legacy Authorization Number,AuthorizationNumber,PdfHyperlink,DocumentID,PdfFound,PdfSource,LastChecked
33586056,10002560,,,Active,2025-08-06 14:26:25,Tourmaline Oil Corp.,2025-08-06 00:00:00,2025-08-06 00:00:00,2026-02-27 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-08-06 14:26:25,AER0102798,,Active,,,,,,,,,NE-22-040-07-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.4606,-114.9142,Alberta Energy Regulator,,10002560,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002560,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:45
33586060,10002559,,,Active,2025-08-06 14:16:35,Tourmaline Oil Corp.,2025-08-06 00:00:00,2025-08-01 00:00:00,2026-02-27 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-08-06 14:16:35,AER0102804,,Active,,,,,,,,,SW-36-040-05-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.4836,-114.6002,Alberta Energy Regulator,,10002559,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002559,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:45
33629071,10002777,,,Active,2025-09-05 10:59:23,Lotus Creek Exploration Inc.,2025-09-05 00:00:00,2025-09-05 00:00:00,2025-12-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-09-05 10:59:23,AER0104220,,Active,,,,,,,,,NW-21-042-05-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.6341,-114.6647,Alberta Energy Regulator,,10002777,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002777,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:53
33728634,10002827,,,Active,2025-11-12 13:39:13,Parallax Energy Operating Inc.,2025-09-11 00:00:00,2025-11-14 00:00:00,2026-11-13 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-11-12 13:39:13,AER0104776,,Active,,,,,,,,,SW-01-039-01-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.3222,-114.0207,Alberta Energy Regulator,,10002827,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002827,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:55
33696295,10003206,,,Active,2025-10-24 15:15:03,Highwood Asset Management Ltd.,2025-10-24 00:00:00,2025-10-24 00:00:00,2026-10-22 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-10-24 15:15:03,AER0107479,,Active,,,,,,,,,NE-01-043-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.6773,-114.7381,Alberta Energy Regulator,,10003206,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003206,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:04
33696295,10003206,,,Active,2025-10-24 15:15:03,Highwood Asset Management Ltd.,2025-10-24 00:00:00,2025-10-24 00:00:00,2026-10-22 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-10-24 15:15:03,AER0107481,,Active,,,,,,,,,SE-01-043-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.6698,-114.7297,Alberta Energy Regulator,,10003206,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003206,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:04
33734572,10003353,,,Active,2025-11-13 12:27:45,Highwood Asset Management Ltd.,2025-11-13 00:00:00,2025-11-11 00:00:00,2026-02-28 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-11-13 12:27:45,AER0109237,,Active,,,,,,,,,NW-31-042-05-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.6672,-114.7112,Alberta Energy Regulator,,10003353,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003353,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:07
33528918,10002788,,,Active,2025-09-08 14:45:04,Spartan Delta Corp.,2025-09-08 00:00:00,2025-09-08 00:00:00,2026-06-01 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-09-08 14:45:04,AER0100102,,Active,,,,,,,,,SE-22-042-04-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.6265,-114.4917,Alberta Energy Regulator,,10002788,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002788,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:53
33532340,10002213,,,Active,2025-06-17 10:09:03,Baytex Energy Ltd.,2025-06-17 00:00:00,2025-06-15 00:00:00,2025-12-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-06-17 10:09:03,AER0100348,,Active,,,,,,,,,SE-01-045-03-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.8501,-114.2989,Alberta Energy Regulator,,10002213,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002213,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:34
33551162,10002274,,,Active,2025-06-26 15:13:08,Paramount Resources Ltd.,2025-06-26 00:00:00,2025-06-20 00:00:00,2025-10-31 00:00:00,Temporary Diversion Licence,Other Purpose Specified by the Director,Industrial,Upstream Oil & Gas,Oil & Gas Plant Processing/Oil Sands Upgrader/Plant Utility Water,Point of diversion,2025-06-26 15:13:08,AER0101107,Surface Water,Active,,Dugout,0.1,Cubic Metres Per Second,1000.0,1000.0,,,SE-04-040-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.4073,-114.8002,Alberta Energy Regulator,,10002274,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002274,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:36
33715265,10002696,,,Active,2025-10-29 16:07:55,Spartan Delta Corp.,2025-08-26 00:00:00,2025-08-26 00:00:00,2026-02-27 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-10-29 16:07:55,AER0102257,,Active,,,,,,,,,SW-26-044-03-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.82,-114.3307,Alberta Energy Regulator,,10002696,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002696,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:51
33573675,10002458,,,Active,2025-07-23 15:34:14,Baytex Energy Ltd.,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-10-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Drilling (Conventional & Vertical Fracturing),Point of use,2025-07-23 15:34:14,AER0102328,,Active,,,,,,,,,SE-18-044-01-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.7872,-114.1258,Alberta Energy Regulator,,10002458,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002458,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:41
33573825,10002490,,,Active,2025-07-28 14:58:54.000001,Tourmaline Oil Corp.,2025-07-28 00:00:00,2025-08-01 00:00:00,2026-03-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-07-28 14:58:54.000001,AER0102353,,Active,,,,,,,,,NE-22-040-07-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.4608,-114.9144,Alberta Energy Regulator,,10002490,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002490,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:43
33586049,10002501,,,Active,2025-07-29 10:08:45,Tourmaline Oil Corp.,2025-07-29 00:00:00,2025-08-01 00:00:00,2026-02-27 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-07-29 10:08:45,AER0102794,,Active,,,,,,,,,NE-22-040-07-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.4608,-114.9146,Alberta Energy Regulator,,10002501,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002501,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:44
33586064,10002520,,,Active,2025-07-30 12:31:30,Tourmaline Oil Corp.,2025-07-30 00:00:00,2025-08-01 00:00:00,2026-02-27 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-07-30 12:31:30,AER0102807,,Active,,,,,,,,,NW-07-040-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.4296,-114.8641,Alberta Energy Regulator,,10002520,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002520,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:44
33621435,10002738,,,Active,2025-09-02 10:53:24,Entrada Resources Inc.,2025-09-02 00:00:00,2025-09-01 00:00:00,2025-12-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of diversion,2025-09-02 10:53:24,AER0104053,Surface Water,Active,,Dugout,0.1,Cubic Metres Per Second,5000.0,5000.0,,,NE-28-041-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.5656,-114.7947,Alberta Energy Regulator,,10002738,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002738,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:52
33632444,10002804,,,Active,2025-09-09 13:26:40,Spartan Delta Corp.,2025-09-09 00:00:00,2025-09-09 00:00:00,2025-12-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-09-09 13:26:40,AER0104477,,Active,,,,,,,,,SW-10-044-04-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.7744,-114.4985,Alberta Energy Regulator,,10002804,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002804,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:55
33728634,10002827,,,Active,2025-11-12 13:39:13,Parallax Energy Operating Inc.,2025-09-11 00:00:00,2025-11-14 00:00:00,2026-11-13 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of diversion,2025-11-12 13:39:13,AER0104773,Surface Water,Active,,Red Deer River,0.35,Cubic Metres Per Second,990000.0,990000.0,,,SE-02-038-28-W4,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.2374,-113.8883,Alberta Energy Regulator,,10002827,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002827,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:55
33644681,10002862,,,Active,2025-09-15 22:29:41,TAQA North Ltd.,2025-09-15 00:00:00,2025-11-01 00:00:00,2026-01-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-09-15 22:29:41,AER0104871,,Active,,,,,,,,,NW-01-038-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.2422,-114.7327,Alberta Energy Regulator,,10002862,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002862,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:57
33653024,10003044,,,Active,2025-10-03 08:10:37,Spartan Delta Corp.,2025-10-03 00:00:00,2025-10-03 00:00:00,2026-02-27 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-10-03 08:10:37,AER0105388,,Active,,,,,,,,,SW-10-044-04-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.7723,-114.5,Alberta Energy Regulator,,10003044,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003044,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:03
33659981,10002992,,,Active,2025-09-26 17:43:45.000001,Highwood Asset Management Ltd.,2025-09-26 00:00:00,2025-10-01 00:00:00,2025-12-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of diversion,2025-09-26 17:43:45.000001,AER0105703,Surface Water,Active,,Dugout,0.1,Cubic Metres Per Second,8000.0,8000.0,,,NE-03-043-05-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.6805,-114.6333,Alberta Energy Regulator,,10002992,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002992,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:02
33734572,10003353,,,Active,2025-11-13 12:27:45,Highwood Asset Management Ltd.,2025-11-13 00:00:00,2025-11-11 00:00:00,2026-02-28 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of diversion,2025-11-13 12:27:45,AER0109236,Surface Water,Active,,Dugout,0.05,Cubic Metres Per Second,3000.0,3000.0,,,SE-36-042-05-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.6589,-114.5814,Alberta Energy Regulator,,10003353,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003353,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:07
33537135,10002797,,,Active,2025-09-09 07:19:08,Spartan Delta Corp.,2025-09-09 00:00:00,2025-09-08 00:00:00,2025-12-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-09-09 07:19:08,AER0100304,,Active,,,,,,,,,SW-14-041-04-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.5281,-114.4719,Alberta Energy Regulator,,10002797,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002797,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:54
33715245,10002271,,,Active,2025-10-29 16:00:45.000001,Paramount Resources Ltd.,2025-06-26 00:00:00,2025-07-17 00:00:00,2026-07-16 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-10-29 16:00:45.000001,AER0100436,,Active,,,,,,,,,NW-01-040-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.4151,-114.7379,Alberta Energy Regulator,,10002271,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002271,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:35
33715255,10002319,,,Active,2025-10-29 16:04:28,Baytex Energy Ltd.,2025-07-07 00:00:00,2025-07-07 00:00:00,2026-06-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-10-29 16:04:28,AER0101160,,Active,,,,,,,,,NE-31-044-02-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.8372,-114.2778,Alberta Energy Regulator,,10002319,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002319,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:38
33715255,10002319,,,Active,2025-10-29 16:04:28,Baytex Energy Ltd.,2025-07-07 00:00:00,2025-07-07 00:00:00,2026-06-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-10-29 16:04:28,AER0101163,,Active,,,,,,,,,SE-28-045-02-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.906,-114.226,Alberta Energy Regulator,,10002319,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002319,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:38
33563572,10002430,,,Active,2025-07-21 14:51:37,Baytex Energy Ltd.,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-10-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Drilling (Conventional & Vertical Fracturing),Point of use,2025-07-21 14:51:37,AER0101665,,Active,,,,,,,,,SW-03-045-02-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.8454,-114.2102,Alberta Energy Regulator,,10002430,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002430,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:40
33563572,10002430,,,Active,2025-07-21 14:51:37,Baytex Energy Ltd.,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-10-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Drilling (Conventional & Vertical Fracturing),Point of use,2025-07-21 14:51:37,AER0101666,,Active,,,,,,,,,SE-34-044-02-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.8308,-114.1983,Alberta Energy Regulator,,10002430,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002430,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:40
33563572,10002430,,,Active,2025-07-21 14:51:37,Baytex Energy Ltd.,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-10-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Drilling (Conventional & Vertical Fracturing),Point of use,2025-07-21 14:51:37,AER0101671,,Active,,,,,,,,,SE-18-044-01-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.7873,-114.1259,Alberta Energy Regulator,,10002430,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002430,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:40
33563572,10002430,,,Active,2025-07-21 14:51:37,Baytex Energy Ltd.,2025-07-21 00:00:00,2025-07-21 00:00:00,2025-10-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Drilling (Conventional & Vertical Fracturing),Point of use,2025-07-21 14:51:37,AER0101672,,Active,,,,,,,,,NW-08-044-01-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.7832,-114.1194,Alberta Energy Regulator,,10002430,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002430,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:40
33715265,10002696,,,Active,2025-10-29 16:07:55,Spartan Delta Corp.,2025-08-26 00:00:00,2025-08-26 00:00:00,2026-02-27 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-10-29 16:07:55,AER0102259,,Active,,,,,,,,,NW-19-041-04-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.5462,-114.5681,Alberta Energy Regulator,,10002696,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002696,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:51
33573584,10002459,,,Active,2025-07-23 15:35:08,Baytex Energy Ltd.,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-10-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Drilling (Conventional & Vertical Fracturing),Point of diversion,2025-07-23 15:35:08,AER0102289,Surface Water,Active,,Dugout,0.05,Cubic Metres Per Second,1500.0,1500.0,,,SE-24-044-03-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.8039,-114.2941,Alberta Energy Regulator,,10002459,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002459,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:42
33573584,10002459,,,Active,2025-07-23 15:35:08,Baytex Energy Ltd.,2025-07-23 00:00:00,2025-07-23 00:00:00,2025-10-31 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Drilling (Conventional & Vertical Fracturing),Point of use,2025-07-23 15:35:08,AER0102295,,Active,,,,,,,,,SW-35-044-02-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.8307,-114.186,Alberta Energy Regulator,,10002459,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002459,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:42
33593068,10002625,,,Active,2025-08-15 15:40:17,Lotus Creek Exploration Inc.,2025-08-15 00:00:00,2025-08-15 00:00:00,2025-09-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of diversion,2025-08-15 15:40:17,AER0103022,Surface Water,Active,,Dugout,0.2,Cubic Metres Per Second,4500.0,4500.0,,,SE-24-042-05-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.6268,-114.5789,Alberta Energy Regulator,,10002625,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002625,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:48
33593068,10002625,,,Active,2025-08-15 15:40:17,Lotus Creek Exploration Inc.,2025-08-15 00:00:00,2025-08-15 00:00:00,2025-09-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-08-15 15:40:17,AER0103023,,Active,,,,,,,,,SE-29-042-05-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.6411,-114.6798,Alberta Energy Regulator,,10002625,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002625,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:48
33634620,10002919,,,Active,2025-09-18 12:50:44,Paramount Resources Ltd.,2025-09-18 00:00:00,2025-09-18 00:00:00,2025-11-29 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Upstream Hydrostatic Testing & Pipeline Construction & Operation,Point of use,2025-09-18 12:50:44,AER0104592,,Active,,,,,,,,,NW-28-038-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.2984,-114.8051,Alberta Energy Regulator,,10002919,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002919,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:58
33634645,10002845,,,Active,2025-09-12 16:14:42,Paramount Resources Ltd.,2025-09-12 00:00:00,2025-09-12 00:00:00,2025-12-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of use,2025-09-12 16:14:42,AER0104605,,Active,,,,,,,,,NW-01-040-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.4154,-114.7374,Alberta Energy Regulator,,10002845,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002845,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:57
33653024,10003044,,,Active,2025-10-03 08:10:37,Spartan Delta Corp.,2025-10-03 00:00:00,2025-10-03 00:00:00,2026-02-27 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Multi-Stage Horizontal Hydraulic Fracturing (Drilling & Completions),Point of diversion,2025-10-03 08:10:37,AER0105386,Surface Water,Active,,Gosling Lake,0.1,Cubic Metres Per Second,80000.0,80000.0,,,NE-14-044-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.7954,-114.7604,Alberta Energy Regulator,,10003044,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10003044,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:51:03
33658557,10002983,,,Active,2025-09-26 16:15:25,Entrada Resources Inc.,2025-09-26 00:00:00,2025-09-26 00:00:00,2025-12-30 00:00:00,Temporary Diversion Licence,Commercial,Industrial,Upstream Oil & Gas,Drilling (Conventional & Vertical Fracturing),Point of diversion,2025-09-26 16:15:25,AER0105674,Surface Water,Active,,Dugout,0.05,Cubic Metres Per Second,1500.0,1500.0,,,SE-02-041-06-W5,,,,,05CC,MEDICINE - BLINDMAN RIVERS,Red Deer River,52.4967,-114.7487,Alberta Energy Regulator,,10002983,https://geospatial.alberta.ca/erv-water-act/?page=Water-Act&authorizationNumber=10002983,,False,ERV fallback (direct PDF not found in HTML),2026-03-19 17:50:59
